,sqft_living,zipcode,grade,price,sca_sqft_living
0,1180,98178,7,221900.0,-0.6607142857142857
1,2570,98125,7,538000.0,0.5803571428571429
2,770,98028,6,180000.0,-1.0267857142857142
3,1960,98136,7,604000.0,0.03571428571428571
4,1680,98074,8,510000.0,-0.21428571428571427
6,1715,98003,7,257500.0,-0.18303571428571427
7,1060,98198,7,291850.0,-0.7678571428571429
8,1780,98146,7,229500.0,-0.125
9,1890,98038,7,323000.0,-0.026785714285714284
10,3560,98007,8,662500.0,1.4642857142857142
11,1160,98115,7,468000.0,-0.6785714285714286
12,1430,98028,7,310000.0,-0.4375
13,1370,98074,7,400000.0,-0.49107142857142855
14,1810,98107,7,530000.0,-0.09821428571428571
15,2950,98126,9,650000.0,0.9196428571428571
16,1890,98019,7,395000.0,-0.026785714285714284
17,1600,98103,7,485000.0,-0.2857142857142857
18,1200,98002,7,189000.0,-0.6428571428571429
19,1250,98003,7,230000.0,-0.5982142857142857
20,1620,98133,7,385000.0,-0.26785714285714285
22,2270,98092,8,285000.0,0.3125
23,1070,98030,7,252700.0,-0.7589285714285714
24,2450,98030,8,329000.0,0.4732142857142857
25,1710,98002,6,233000.0,-0.1875
26,2450,98119,8,937000.0,0.4732142857142857
27,1400,98112,8,667000.0,-0.4642857142857143
28,1520,98115,7,438000.0,-0.35714285714285715
29,2570,98052,8,719000.0,0.5803571428571429
30,2320,98027,8,580500.0,0.35714285714285715
31,1190,98133,7,280000.0,-0.6517857142857143
32,2330,98117,7,687500.0,0.36607142857142855
33,1090,98117,8,535000.0,-0.7410714285714286
34,2060,98058,7,322500.0,0.125
35,2300,98115,8,696000.0,0.3392857142857143
37,2360,98107,8,640000.0,0.39285714285714285
38,1220,98001,7,240000.0,-0.625
39,2620,98056,8,605000.0,0.625
40,2570,98074,9,625000.0,0.5803571428571429
41,4220,98166,8,775000.0,2.0535714285714284
42,3595,98053,9,861990.0,1.4955357142857142
43,1570,98119,7,685000.0,-0.3125
44,1280,98058,6,309000.0,-0.5714285714285714
45,3160,98019,8,488000.0,1.1071428571428572
46,990,98023,6,210490.0,-0.8303571428571429
47,2290,98007,9,785000.0,0.33035714285714285
48,1250,98115,7,450000.0,-0.5982142857142857
50,1190,98148,7,228000.0,-0.6517857142857143
51,3150,98056,8,345000.0,1.0982142857142858
52,1410,98117,7,600000.0,-0.45535714285714285
53,1980,98117,7,585000.0,0.05357142857142857
54,2730,98105,8,920000.0,0.7232142857142857
55,2830,98105,9,885000.0,0.8125
56,2250,98042,7,292500.0,0.29464285714285715
57,2420,98042,8,301000.0,0.44642857142857145
58,3250,98008,8,951000.0,1.1875
59,1850,98059,8,430000.0,-0.0625
60,2150,98166,8,650000.0,0.20535714285714285
61,1260,98148,7,289000.0,-0.5892857142857143
62,2519,98166,8,505000.0,0.5348214285714286
63,1540,98115,8,549000.0,-0.3392857142857143
64,1660,98122,7,425000.0,-0.23214285714285715
65,2770,98144,7,317625.0,0.7589285714285714
